TIME,DEPTH
57.1964,249.53
57.2064,249.53
57.2164,249.53
57.2264,249.53
57.2364,249.53
57.2464,249.53
57.2564,249.53
57.2664,249.53
57.2764,249.53
57.2864,249.53
57.2964,249.53
57.3064,249.53
57.3164,249.53
57.3264,249.53
57.3364,249.53
57.3464,249.53
57.3564,249.53
57.3664,249.53
57.3764,249.53
57.3864,249.53
57.3964,249.53
57.4064,249.53
57.4164,249.53
57.4264,249.53
57.4364,249.53
57.4464,249.529
57.4564,249.529
57.4664,249.529
57.4764,249.529
57.4864,249.529
57.4964,249.529
57.5064,249.529
57.5164,249.529
57.5264,249.529
57.5364,249.529
57.5463,249.529
57.5563,249.529
57.5663,249.529
57.5763,249.529
57.5863,249.529
57.5963,249.529
57.6063,249.529
57.6163,249.529
57.6263,249.529
57.6363,249.529
57.6463,249.529
57.6563,249.529
57.6663,249.529
57.6763,249.529
57.6863,249.529
57.6963,249.529
57.7063,249.529
57.7163,249.529
57.7263,249.529
57.7363,249.529
57.7463,249.529
57.7563,249.529
57.7663,249.529
57.7763,249.529
57.7863,249.529
57.7963,249.529
57.8063,249.529
57.8163,249.529
57.8263,249.529
57.8363,249.529
57.8463,249.529
57.8563,249.529
57.8663,249.529
57.8763,249.529
57.8863,249.529
57.8963,249.529
57.9063,249.529
57.9163,249.529
57.9263,249.529
57.9363,249.529
57.9463,249.529
57.9563,249.529
57.9663,249.529
57.9763,249.529
57.9863,249.529
57.9963,249.529
58.0063,249.529
58.0163,249.529
58.0263,249.529
58.0363,249.529
58.0463,249.529
58.0563,249.529
58.0663,249.529
58.0763,249.529
58.0863,249.529
58.0963,249.529
58.1063,249.529
58.1163,249.529
58.1263,249.529
58.1362,249.529
58.1462,249.528
58.1562,249.528
58.1662,249.528
58.1762,249.528
58.1862,249.528
58.1962,249.528
58.2062,249.528
58.2162,249.528
58.2262,249.528
58.2362,249.528
58.2462,249.528
58.2562,249.528
58.2662,249.528
58.2762,249.528
58.2862,249.528
58.2962,249.528
58.3062,249.528
58.3162,249.528
58.3262,249.528
58.3362,249.528
58.3462,249.528
58.3562,249.528
58.3662,249.528
58.3762,249.528
58.3862,249.528
58.3962,249.528
58.4062,249.528
58.4162,249.528
58.4262,249.528
58.4362,249.528
58.4462,249.528
58.4562,249.528
58.4662,249.528
58.4762,249.528
58.4862,249.528
58.4962,249.528
58.5062,249.528
58.5162,249.528
58.5262,249.528
58.5362,249.528
58.5462,249.528
58.5562,249.528
58.5662,249.528
58.5762,249.528
58.5862,249.528
58.5962,249.528
58.6062,249.528
58.6162,249.528
58.6262,249.528
58.6362,249.528
58.6462,249.528
58.6562,249.528
58.6662,249.528
58.6762,249.528
58.6862,249.528
58.6962,249.528
58.7062,249.528
58.7162,249.528
58.7262,249.528
58.7361,249.528
58.7461,249.528
58.7561,249.528
58.7661,249.528
58.7761,249.528
58.7861,249.528
58.7961,249.528
58.8061,249.528
58.8161,249.528
58.8261,249.528
58.8361,249.528
58.8461,249.528
58.8561,249.528
58.8661,249.528
58.8761,249.528
58.8861,249.528
58.8961,249.528
58.9061,249.528
58.9161,249.528
58.9261,249.528
58.9361,249.528
58.9461,249.528
58.9561,249.528
58.9661,249.528
58.9761,249.528
58.9861,249.528
58.9961,249.528
59.0061,249.528
59.0161,249.528
59.0261,249.528
59.0361,249.528
59.0461,249.527
59.0561,249.527
59.0661,249.527
59.0761,249.527
